,Species,Cluster,Motif,Influe
3042,Human,Erythroid,"(5, 39)",1.7092106
3052,Human,Erythroid,"(5, 40)",1.6941330000000001
3062,Human,Erythroid,"(5, 41)",1.6647368999999999
3072,Human,Erythroid,"(5, 42)",1.6563082999999998
3074,Human,Immune,"(5, 42)",0.53591096
3082,Human,Erythroid,"(5, 43)",1.7681935000000002
3084,Human,Immune,"(5, 43)",0.9454947
3092,Human,Erythroid,"(5, 45)",1.7317506
3094,Human,Immune,"(5, 45)",0.8174376
3102,Human,Erythroid,"(5, 46)",1.657188
3104,Human,Immune,"(5, 46)",0.76243794
3112,Human,Erythroid,"(5, 47)",1.7246635
3122,Human,Erythroid,"(5, 48)",1.7128932000000001
3132,Human,Erythroid,"(5, 50)",1.7214832999999998
3142,Human,Erythroid,"(5, 51)",1.7475863999999999
3152,Human,Erythroid,"(5, 52)",1.613642
3162,Human,Erythroid,"(5, 53)",1.7114002000000001
3172,Human,Erythroid,"(5, 54)",1.7912933999999998
3182,Human,Erythroid,"(5, 55)",1.7042119999999998
3192,Human,Erythroid,"(5, 56)",1.5977107
3194,Human,Immune,"(5, 56)",1.1517155000000001
3202,Human,Erythroid,"(5, 57)",1.8882808999999998
3204,Human,Immune,"(5, 57)",0.6522404
3212,Human,Erythroid,"(5, 58)",1.603073
3222,Human,Erythroid,"(5, 59)",1.7513566999999999
3232,Human,Erythroid,"(5, 60)",1.5112228
3234,Human,Immune,"(5, 60)",0.7609225000000001
3242,Human,Erythroid,"(5, 61)",1.6813775000000002
3252,Human,Erythroid,"(5, 62)",1.7697724
3262,Human,Erythroid,"(5, 63)",0.7430924
3264,Human,Immune,"(5, 63)",0.8934393
3272,Human,Erythroid,"(5, 64)",1.5492184
3275,Human,Muscle,"(5, 64)",0.5965902
3282,Human,Erythroid,"(5, 65)",1.7156096
3292,Human,Erythroid,"(5, 66)",1.6724306
3302,Human,Erythroid,"(5, 67)",1.674582
3312,Human,Erythroid,"(5, 68)",1.7121872
3322,Human,Erythroid,"(5, 69)",1.7618921000000003
3332,Human,Erythroid,"(5, 70)",1.6644851999999999
